offer_id,product,category,ingredient,count,type
48809583116618,MUM White Floral Letters,4,Chrysanthemum,6,stems count
48809583116618,MUM White Floral Letters,4,Rose,12,stems count
48809583149386,Spanish Caravan - Deluxe,1,Rose,11,stems count
48809583214922,Candy Says - 30 Stems,1,Anemone,30,stems count
48809583968586,Candy Says - 50 Stems,1,Anemone,50,stems count
48809584165194,Flowers Posy Teardrop - Standard,4,Lily,3,stems count
48809584165194,Flowers Posy Teardrop - Standard,4,Peony,5,stems count
48809584165194,Flowers Posy Teardrop - Standard,4,Delphinium,8,stems count
48809584165194,Flowers Posy Teardrop - Standard,4,Foliage,12,stems count
48809584197962,Flowers Posy Teardrop - Deluxe,4,Lily,3,stems count
48809584197962,Flowers Posy Teardrop - Deluxe,4,Peony,5,stems count
48809584197962,Flowers Posy Teardrop - Deluxe,4,Delphinium,8,stems count
48809584197962,Flowers Posy Teardrop - Deluxe,4,Foliage,12,stems count
48809584230730,Orange and Burgundy Wreath - 12 Inch,4,Chrysanthemum,18,stems count
48809584230730,Orange and Burgundy Wreath - 12 Inch,4,Geranium,1,stems approx
48809584230730,Orange and Burgundy Wreath - 12 Inch,4,Rose,10,stems count
48809584230730,Orange and Burgundy Wreath - 12 Inch,4,Hydrangea,5,stems count
48809584230730,Orange and Burgundy Wreath - 12 Inch,4,Hypericum,8,stems count
48809584230730,Orange and Burgundy Wreath - 12 Inch,4,Foliage,12,stems count
48809584296266,Orange and Burgundy Wreath - 14 Inch,4,Chrysanthemum,18,stems count
48809584296266,Orange and Burgundy Wreath - 14 Inch,4,Geranium,1,stems approx
48809584296266,Orange and Burgundy Wreath - 14 Inch,4,Rose,10,stems count
48809584296266,Orange and Burgundy Wreath - 14 Inch,4,Hydrangea,5,stems count
48809584296266,Orange and Burgundy Wreath - 14 Inch,4,Hypericum,8,stems count
48809584296266,Orange and Burgundy Wreath - 14 Inch,4,Foliage,12,stems count
48809584329034,Orange and Burgundy Wreath - 16 Inch,4,Chrysanthemum,18,stems count
48809584329034,Orange and Burgundy Wreath - 16 Inch,4,Geranium,1,stems approx
48809584329034,Orange and Burgundy Wreath - 16 Inch,4,Rose,10,stems count
48809584329034,Orange and Burgundy Wreath - 16 Inch,4,Hydrangea,5,stems count
48809584329034,Orange and Burgundy Wreath - 16 Inch,4,Hypericum,8,stems count
48809584329034,Orange and Burgundy Wreath - 16 Inch,4,Foliage,12,stems count
48809584394570,Black and Red - 12 Inch,4,Rose,18,stems count
48809584394570,Black and Red - 12 Inch,4,Foliage,8,stems count
48809584394570,Black and Red - 12 Inch,4,Sedum,6,stems count
48809584394570,Black and Red - 12 Inch,4,Gladiolus,12,stems approx
48809584427338,Black and Red - 14 Inch,4,Rose,18,stems count
48809584427338,Black and Red - 14 Inch,4,Foliage,8,stems count
48809584427338,Black and Red - 14 Inch,4,Sedum,6,stems count
48809584427338,Black and Red - 14 Inch,4,Gladiolus,12,stems approx
48809584460106,Black and Red - 16 Inch,4,Rose,18,stems count
48809584460106,Black and Red - 16 Inch,4,Foliage,8,stems count
48809584460106,Black and Red - 16 Inch,4,Sedum,6,stems count
48809584460106,Black and Red - 16 Inch,4,Gladiolus,12,stems approx
48809584558410,Roses and Freesia Luxury Funeral Wreath - 12 Inch,4,Rose,12,stems count
48809584558410,Roses and Freesia Luxury Funeral Wreath - 12 Inch,4,Freesia,8,stems count
48809584623946,Roses and Freesia Luxury Funeral Wreath - 14 Inch,4,Rose,12,stems count
48809584623946,Roses and Freesia Luxury Funeral Wreath - 14 Inch,4,Freesia,8,stems count
